codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
49591;ACIDENTE;PATOS DE MINAS;MG;BRASIL;;22/08/2013;14:26:00;0
49644;INCIDENTE;COSMÓPOLIS;SP;BRASIL;;23/08/2013;16:33:00;0
49752;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;23/08/2013;21:47:00;0
49538;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;25/08/2013;22:50:00;0
49494;INCIDENTE GRAVE;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;26/08/2013;18:00:00;0
49834;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;28/08/2013;23:30:00;0
49592;ACIDENTE;IGUATEMI;MS;BRASIL;;29/08/2013;20:00:00;0
49593;ACIDENTE;MATÕES DO NORTE;MA;BRASIL;;30/08/2013;15:55:00;3
49700;INCIDENTE;ELDORADO DO SUL;RS;BRASIL;;30/08/2013;19:00:00;0
49617;INCIDENTE GRAVE;CACHOEIRO DE ITAPEMIRIM;ES;BRASIL;SNKI;31/08/2013;13:00:00;0
49618;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBGO;31/08/2013;12:21:00;4
49619;INCIDENTE GRAVE;CARAZINHO;RS;BRASIL;SSKZ;31/08/2013;15:10:00;0
49594;ACIDENTE;SIMPLÍCIO MENDES;PI;BRASIL;;01/09/2013;09:32:00;0
49621;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;01/09/2013;17:08:00;0
49702;INCIDENTE;PIRAÍ DO SUL;PR;BRASIL;;01/09/2013;18:30:00;0
49703;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;01/09/2013;17:58:00;0
49474;ACIDENTE;ÁGUAS INTERNACIONAIS**BRASIL;**;02/09/2013;;10/05/2018;;
49611;ACIDENTE;BELÉM;PA;BRASIL;;03/09/2013;17:45:00;1
49632;INCIDENTE;VILA VELHA;ES;BRASIL;SIVU;04/09/2013;13:30:00;0
53104;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;04/09/2013;17:44:00;6
49612;ACIDENTE;CARAZINHO;RS;BRASIL;SSKZ;05/09/2013;20:20:00;0
49614;ACIDENTE;LEME;SP;BRASIL;SDLL;05/09/2013;14:40:00;0
49634;INCIDENTE;VÁRZEA GRANDE;MT;BRASIL;SBCY;06/09/2013;14:05:00;0
49635;INCIDENTE;MANAUS;AM;BRASIL;SBEG;06/09/2013;03:06:00;0
49636;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;06/09/2013;13:10:00;0
49620;INCIDENTE GRAVE;UBERLÂNDIA;MG;BRASIL;SBUL;08/09/2013;18:00:00;0
49623;INCIDENTE;CAMPINAS;SP;BRASIL;;08/09/2013;23:49:00;0
49637;INCIDENTE;CABROBÓ;PE;BRASIL;;09/09/2013;14:30:00;0
49624;INCIDENTE;JOÃO PESSOA;PB;BRASIL;SBJP;10/09/2013;08:40:00;0
49638;INCIDENTE;PARINTINS;AM;BRASIL;SWPI;10/09/2013;22:30:00;0
49651;ACIDENTE;MARICÁ;RJ;BRASIL;SDMC;11/09/2013;17:10:00;1
49704;INCIDENTE;VALENÇA;BA;BRASIL;SNVB;11/09/2013;12:40:00;0
50692;ACIDENTE;AMERICANA;SP;BRASIL;SDAI;12/09/2013;17:30:00;0
49639;INCIDENTE;BANANEIRAS;PB;BRASIL;SJFU;13/09/2013;14:15:00;0
49673;INCIDENTE GRAVE;MARINGÁ;PR;BRASIL;SBMG;13/09/2013;13:15:00;0
49640;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;14/09/2013;18:41:00;0
49641;INCIDENTE;JARDIM;MS;BRASIL;SSJI;14/09/2013;13:53:00;0
49615;ACIDENTE;ARAGARÇAS;GO;BRASIL;SJVO;15/09/2013;18:00:00;0
50348;ACIDENTE;SAPEZAL;MT;BRASIL;;15/09/2013;21:00:00;0
49642;INCIDENTE;UBERABA;MG;BRASIL;SBUR;16/09/2013;01:54:00;0
49814;INCIDENTE GRAVE;CONSELHEIRO LAFAIETE;MG;BRASIL;SNKF;16/09/2013;17:02:00;0
49705;INCIDENTE;JOINVILLE;SC;BRASIL;SBJV;17/09/2013;20:37:00;0
49706;INCIDENTE;BELÉM;PA;BRASIL;SBBE;17/09/2013;19:31:00;0
49692;INCIDENTE;BLUMENAU;SC;BRASIL;SSBL;18/09/2013;14:01:00;1
